Brian Hannan	voiceActor	Aladdin: The Return of Jafar	Michael Silversher	composer
Brian Hannan	voiceActor	Aladdin: The Return of Jafar	Alan Menken	composer
Brian Hannan	voiceActor	Aladdin: The Return of Jafar	Howard Ashman	composer
Brian Hannan	voiceActor	Aladdin: The Return of Jafar	Randy Petersen	composer
Brian Hannan	voiceActor	Aladdin: The Return of Jafar	Kevin Quinn	composer
Brian Hannan	voiceActor	Aladdin: The Return of Jafar	Dale Gonyea	composer
Bruce Adler	voiceActor	Aladdin	Alan Menken	composer
Bruce Adler	voiceActor	Aladdin	Tim Rice	composer
Bruce Adler	voiceActor	Aladdin	Howard Ashman	composer
Dan Castellaneta	voiceActor	Aladdin: The Return of Jafar	Patty Silversher	composer
Dan Castellaneta	voiceActor	Aladdin: The Return of Jafar	Michael Silversher	composer
Dan Castellaneta	voiceActor	Aladdin: The Return of Jafar	Alan Menken	composer
Dan Castellaneta	voiceActor	Aladdin: The Return of Jafar	Howard Ashman	composer
Dan Castellaneta	voiceActor	Aladdin: The Return of Jafar	Randy Petersen	composer
Dan Castellaneta	voiceActor	Aladdin: The Return of Jafar	Kevin Quinn	composer
Dan Castellaneta	voiceActor	Aladdin: The Return of Jafar	Dale Gonyea	composer
Joanathan Freeman	voiceActor	Aladdin: The Return of Jafar	Patty Silversher	composer
Joanathan Freeman	voiceActor	Aladdin: The Return of Jafar	Michael Silversher	composer
Joanathan Freeman	voiceActor	Aladdin: The Return of Jafar	Alan Menken	composer
Joanathan Freeman	voiceActor	Aladdin: The Return of Jafar	Howard Ashman	composer
Joanathan Freeman	voiceActor	Aladdin: The Return of Jafar	Randy Petersen	composer
Joanathan Freeman	voiceActor	Aladdin: The Return of Jafar	Kevin Quinn	composer
Joanathan Freeman	voiceActor	Aladdin: The Return of Jafar	Dale Gonyea	composer
