word	nodeType	synsetCount	unit
big	ADJ	17	vol-27
young	ADJ	14	vol-27
old	ADJ	9	vol-27
opposite	ADJ	11	vol-27
rude	ADJ	5	vol-27
natural	ADJ	13	vol-27
queenly	ADJ	1	vol-27
free	ADJ	22	vol-27
random	ADJ	1	vol-27
same	ADJ	6	vol-27
same	ADJ	6	vol-27
good	ADJ	27	vol-27
same	ADJ	6	vol-27
same	ADJ	6	vol-27
stuck	ADJ	18	vol-27
other	ADJ	4	vol-27
important	ADJ	5	vol-27
such	ADJ	2	vol-27
young	ADJ	14	vol-27
little	ADJ	10	vol-27
full	ADJ	13	vol-27
right	ADJ	36	vol-27
large	ADJ	11	vol-27
wide	ADJ	11	vol-27
real	ADJ	13	vol-27
other	ADJ	4	vol-27
random	ADJ	1	vol-27
ashamed	ADJ	1	vol-27
fake	ADJ	8	vol-27
expensive	ADJ	1	vol-27
real	ADJ	13	vol-27
careful	ADJ	5	vol-27
convinced	ADJ	3	vol-27
popular	ADJ	4	vol-27
simple	ADJ	9	vol-27
old	ADJ	9	vol-27
little	ADJ	10	vol-27
good	ADJ	27	vol-27
traditional	ADJ	2	vol-27
wrong	ADJ	13	vol-27
funny	ADJ	5	vol-27
careless	ADJ	3	vol-27
true	ADJ	15	vol-27
real	ADJ	13	vol-27
french	ADJ	5	vol-27
sure	ADJ	10	vol-27
cool	ADJ	11	vol-27
wrong	ADJ	13	vol-27
chinese	ADJ	4	vol-27
japanese	ADJ	3	vol-27
big	ADJ	17	vol-27
important	ADJ	5	vol-27
secret	ADJ	14	vol-27
sisterly	ADJ	1	vol-27
left	ADJ	24	vol-27
sudden	ADJ	1	vol-27
main	ADJ	5	vol-27
many	ADJ	1	vol-27
black	ADJ	22	vol-27
next	ADJ	4	vol-27
good	ADJ	27	vol-6
hard	ADJ	22	vol-6
relaxing	ADJ	9	vol-6
careful	ADJ	5	vol-6
striped	ADJ	15	vol-6
good	ADJ	27	vol-6
striped	ADJ	15	vol-6
hungry	ADJ	2	vol-6
disgusting	ADJ	3	vol-6
able	ADJ	4	vol-6
striped	ADJ	15	vol-6
right	ADJ	36	vol-6
cute	ADJ	2	vol-6
weirdo	ADJ	2	vol-6
weird	ADJ	3	vol-6
weird	ADJ	3	vol-6
weird	ADJ	3	vol-6
special	ADJ	10	vol-6
special	ADJ	10	vol-6
new	ADJ	12	vol-6
exact	ADJ	4	vol-6
current	ADJ	4	vol-6
weekly	ADJ	3	vol-6
same	ADJ	6	vol-6
various	ADJ	4	vol-6
key	ADJ	21	vol-6
brown	ADJ	8	vol-6
many	ADJ	1	vol-6
wonderful	ADJ	1	vol-6
japanese	ADJ	3	vol-6
first	ADJ	16	vol-6
personal	ADJ	6	vol-6
dangerous	ADJ	2	vol-6
mysterious	ADJ	2	vol-6
third	ADJ	8	vol-6
odd	ADJ	6	vol-6
interested	ADJ	5	vol-6
scary	ADJ	1	vol-6
other	ADJ	4	vol-6
useful	ADJ	2	vol-6
handy	ADJ	4	vol-6
accurate	ADJ	2	vol-6
weird	ADJ	3	vol-6
wrong	ADJ	13	vol-6
bad	ADJ	17	vol-6
many	ADJ	1	vol-6
female	ADJ	5	vol-6
old	ADJ	9	vol-6
second	ADJ	15	vol-6
first	ADJ	16	vol-6
more	ADJ	5	vol-6
own	ADJ	2	vol-6
worth	ADJ	5	vol-6
occasional	ADJ	4	vol-6
little	ADJ	10	vol-6
fake	ADJ	8	vol-6
same	ADJ	6	vol-6
armed	ADJ	5	vol-6
kindred	ADJ	3	vol-6
little	ADJ	10	vol-7
perfect	ADJ	5	vol-7
funny	ADJ	5	vol-7
bad	ADJ	17	vol-7
bad	ADJ	17	vol-7
raw	ADJ	14	vol-7
first	ADJ	16	vol-7
short	ADJ	23	vol-7
broken	ADJ	72	vol-7
clear	ADJ	45	vol-7
tidal	ADJ	1	vol-7
terrible	ADJ	4	vol-7
same	ADJ	6	vol-7
powerful	ADJ	6	vol-7
circular	ADJ	3	vol-7
old	ADJ	9	vol-7
old	ADJ	9	vol-7
same	ADJ	6	vol-7
okay	ADJ	4	vol-7
ok	ADJ	4	vol-7
many	ADJ	1	vol-7
able	ADJ	4	vol-7
silly	ADJ	5	vol-7
fun	ADJ	4	vol-7
hard	ADJ	22	vol-7
more	ADJ	5	vol-7
true	ADJ	15	vol-7
right	ADJ	36	vol-7
spanish	ADJ	3	vol-7
funky	ADJ	4	vol-7
least	ADJ	3	vol-7
little	ADJ	10	vol-7
cheap	ADJ	4	vol-7
elementary	ADJ	3	vol-7
same	ADJ	6	vol-7
mad	ADJ	4	vol-7
mad	ADJ	4	vol-7
strained	ADJ	13	vol-7
double	ADJ	21	vol-7
tired	ADJ	6	vol-7
fake	ADJ	8	vol-7
braided	ADJ	4	vol-7
technical	ADJ	7	vol-7
okay	ADJ	4	vol-7
great	ADJ	7	vol-7
right	ADJ	36	vol-7
nervous	ADJ	5	vol-7
little	ADJ	10	vol-7
old	ADJ	9	vol-7
okay	ADJ	4	vol-7
wonderful	ADJ	1	vol-7
upper	ADJ	6	vol-7
right	ADJ	36	vol-7
able	ADJ	4	vol-7
top	ADJ	22	vol-7
certain	ADJ	7	vol-7
amazing	ADJ	4	vol-7
true	ADJ	15	vol-7
mammoth	ADJ	2	vol-7
fun	ADJ	4	vol-7
artistic	ADJ	3	vol-7
valuable	ADJ	3	vol-7
little	ADJ	10	vol-7
little	ADJ	10	vol-7
dumb	ADJ	4	vol-7
similar	ADJ	5	vol-7
careful	ADJ	5	vol-5
first	ADJ	16	vol-5
real	ADJ	13	vol-5
sound	ADJ	24	vol-5
donnnn	ADJ	0	vol-5
damn	ADJ	5	vol-5
weird	ADJ	3	vol-5
sorry	ADJ	4	vol-5
simple	ADJ	9	vol-5
german	ADJ	3	vol-5
able	ADJ	4	vol-5
much	ADJ	7	vol-5
partial	ADJ	5	vol-5
well	ADJ	22	vol-5
black	ADJ	22	vol-5
white	ADJ	25	vol-5
old	ADJ	9	vol-4
old	ADJ	9	vol-4
old	ADJ	9	vol-4
old	ADJ	9	vol-4
old	ADJ	9	vol-4
weird	ADJ	3	vol-4
weird	ADJ	3	vol-4
mysterious	ADJ	2	vol-4
cool	ADJ	11	vol-4
other	ADJ	4	vol-4
last	ADJ	21	vol-4
correct	ADJ	12	vol-4
cruel	ADJ	1	vol-4
real	ADJ	13	vol-4
real	ADJ	13	vol-4
long	ADJ	12	vol-4
same	ADJ	6	vol-4
nervous	ADJ	5	vol-4
stupid	ADJ	4	vol-4
weird	ADJ	3	vol-4
new	ADJ	12	vol-4
special	ADJ	10	vol-4
big	ADJ	17	vol-4
interesting	ADJ	4	vol-4
dead	ADJ	21	vol-4
high	ADJ	18	vol-4
high	ADJ	18	vol-4
Most	ADJ	5	vol-4
good	ADJ	27	vol-4
real	ADJ	13	vol-4
axe	ADJ	3	vol-4
good	ADJ	27	vol-4
alive	ADJ	7	vol-4
former	ADJ	5	vol-4
same	ADJ	6	vol-4
painful	ADJ	4	vol-4
secondary	ADJ	7	vol-4
normal	ADJ	5	vol-4
little	ADJ	10	vol-4
hilarious	ADJ	1	vol-4
mysterious	ADJ	2	vol-4
normal	ADJ	5	vol-4
other	ADJ	4	vol-4
honest	ADJ	7	vol-4
great	ADJ	7	vol-4
much	ADJ	7	vol-4
expensive	ADJ	1	vol-4
d	ADJ	4	vol-4
patient	ADJ	3	vol-4
young	ADJ	14	vol-4
old	ADJ	9	vol-4
disrespectful	ADJ	2	vol-4
proud	ADJ	2	vol-4
good	ADJ	27	vol-4
simple	ADJ	9	vol-4
same	ADJ	6	vol-4
many	ADJ	1	vol-4
sharp	ADJ	15	vol-4
many	ADJ	1	vol-4
many	ADJ	1	vol-4
many	ADJ	1	vol-4
many	ADJ	1	vol-4
special	ADJ	10	vol-4
