word	nodeType	synsetCount	unit
cold	ADJ	16	vol-12
sudden	ADJ	1	vol-12
little	ADJ	10	vol-12
high	ADJ	18	vol-12
interested	ADJ	5	vol-12
okay	ADJ	4	vol-12
straight	ADJ	21	vol-12
okay	ADJ	4	vol-12
whole	ADJ	8	vol-12
whole	ADJ	8	vol-12
little	ADJ	10	vol-12
old	ADJ	9	vol-12
uhhh	ADJ	0	vol-12
first	ADJ	16	vol-23
afraid	ADJ	4	vol-23
humorous	ADJ	1	vol-23
least	ADJ	3	vol-23
ahem	ADJ	1	vol-23
free	ADJ	22	vol-23
quick	ADJ	8	vol-23
first	ADJ	16	vol-23
first	ADJ	16	vol-23
dedicated	ADJ	6	vol-23
duper	ADJ	0	vol-23
sorry	ADJ	4	vol-23
6th	ADJ	1	vol-23
middle	ADJ	9	vol-23
happy	ADJ	4	vol-23
little	ADJ	10	vol-23
next	ADJ	4	vol-23
bad	ADJ	17	vol-23
other	ADJ	4	vol-23
best	ADJ	43	vol-23
sexy	ADJ	2	vol-23
sexy	ADJ	2	vol-23
professional	ADJ	8	vol-23
sexy	ADJ	2	vol-23
such	ADJ	2	vol-23
exciting	ADJ	10	vol-23
bottom	ADJ	12	vol-23
like	ADJ	11	vol-23
upper	ADJ	6	vol-23
other	ADJ	4	vol-23
different	ADJ	5	vol-23
left	ADJ	24	vol-23
great	ADJ	7	vol-23
other	ADJ	4	vol-23
2nd	ADJ	1	vol-23
7th	ADJ	1	vol-23
3rd	ADJ	1	vol-23
6th	ADJ	1	vol-23
4th	ADJ	1	vol-23
5th	ADJ	1	vol-23
proper	ADJ	4	vol-23
surprised	ADJ	4	vol-23
other	ADJ	4	vol-23
fair	ADJ	17	vol-23
foreign	ADJ	4	vol-23
little	ADJ	10	vol-23
little	ADJ	10	vol-23
different	ADJ	5	vol-23
ish	ADJ	0	vol-23
changed	ADJ	13	vol-23
interested	ADJ	5	vol-23
funny	ADJ	5	vol-23
same	ADJ	6	vol-23
strange	ADJ	3	vol-23
esoteric	ADJ	1	vol-23
western	ADJ	6	vol-23
sure	ADJ	10	vol-23
wrong	ADJ	13	vol-23
surprised	ADJ	4	vol-23
worldly	ADJ	2	vol-23
such	ADJ	2	vol-23
deep	ADJ	21	vol-23
cool	ADJ	11	vol-23
main	ADJ	5	vol-23
next	ADJ	4	vol-23
weird	ADJ	3	vol-22
weird	ADJ	3	vol-22
next	ADJ	4	vol-22
fine	ADJ	10	vol-22
next	ADJ	4	vol-22
good	ADJ	27	vol-22
japanese	ADJ	3	vol-22
direct	ADJ	24	vol-22
unique	ADJ	4	vol-22
japanese	ADJ	3	vol-22
long	ADJ	12	vol-22
korean	ADJ	3	vol-22
chinese	ADJ	4	vol-22
expeditionary	ADJ	1	vol-22
bad	ADJ	17	vol-22
famous	ADJ	1	vol-22
big	ADJ	17	vol-22
widespread	ADJ	2	vol-22
long	ADJ	12	vol-22
suigun	ADJ	0	vol-22
short	ADJ	23	vol-22
good	ADJ	27	vol-22
mysterious	ADJ	2	vol-22
other	ADJ	4	vol-22
next	ADJ	4	vol-22
basic	ADJ	6	vol-22
high	ADJ	18	vol-22
green	ADJ	14	vol-22
more	ADJ	5	vol-22
good	ADJ	27	vol-20
little	ADJ	10	vol-20
enthusiastic	ADJ	1	vol-20
nice	ADJ	6	vol-20
okay	ADJ	4	vol-20
chinese	ADJ	4	vol-20
chinese	ADJ	4	vol-20
difficult	ADJ	2	vol-20
scary	ADJ	1	vol-20
secret	ADJ	14	vol-20
normal	ADJ	5	vol-20
good	ADJ	27	vol-20
tall	ADJ	5	vol-20
secret	ADJ	14	vol-20
huge	ADJ	1	vol-20
tense	ADJ	8	vol-20
witted	ADJ	0	vol-20
wrong	ADJ	13	vol-20
former	ADJ	5	vol-20
female	ADJ	5	vol-20
simple	ADJ	9	vol-20
young	ADJ	14	vol-20
old	ADJ	9	vol-20
baroque	ADJ	4	vol-20
baroque	ADJ	4	vol-20
right	ADJ	36	vol-20
right	ADJ	36	vol-20
difficult	ADJ	2	vol-20
prevalent	ADJ	1	vol-20
17th	ADJ	1	vol-20
own	ADJ	2	vol-20
simple	ADJ	9	vol-20
extravagant	ADJ	2	vol-20
ostentatious	ADJ	2	vol-20
own	ADJ	2	vol-20
other	ADJ	4	vol-20
old	ADJ	9	vol-20
cute	ADJ	2	vol-20
hard	ADJ	22	vol-20
dang	ADJ	0	vol-20
tootin	ADJ	0	vol-20
former	ADJ	5	vol-20
cute	ADJ	2	vol-20
certain	ADJ	7	vol-20
editorial	ADJ	3	vol-20
right	ADJ	36	vol-20
relentless	ADJ	2	vol-20
sacred	ADJ	5	vol-20
other	ADJ	4	vol-20
top	ADJ	22	vol-20
hard	ADJ	22	vol-20
picky	ADJ	1	vol-20
other	ADJ	4	vol-20
dear	ADJ	8	vol-20
dirty	ADJ	13	vol-20
female	ADJ	5	vol-20
serious	ADJ	6	vol-20
awful	ADJ	7	vol-20
true	ADJ	15	vol-20
impressed	ADJ	8	vol-20
old	ADJ	9	vol-20
right	ADJ	36	vol-20
refined	ADJ	11	vol-20
only	ADJ	9	vol-20
good	ADJ	27	vol-20
middle	ADJ	9	vol-20
middle	ADJ	9	vol-20
little	ADJ	10	vol-20
human	ADJ	4	vol-20
true	ADJ	15	vol-20
more	ADJ	5	vol-20
human	ADJ	4	vol-20
like	ADJ	11	vol-20
many	ADJ	1	vol-20
great	ADJ	7	vol-20
real	ADJ	13	vol-20
next	ADJ	4	vol-20
right	ADJ	36	vol-21
boring	ADJ	5	vol-21
good	ADJ	27	vol-21
more	ADJ	5	vol-21
full	ADJ	13	vol-21
left	ADJ	24	vol-21
other	ADJ	4	vol-21
such	ADJ	2	vol-21
impossible	ADJ	4	vol-21
impossible	ADJ	4	vol-21
close	ADJ	37	vol-21
other	ADJ	4	vol-21
large	ADJ	11	vol-21
other	ADJ	4	vol-21
mean	ADJ	16	vol-21
uhhhhhh	ADJ	0	vol-21
uhhh	ADJ	0	vol-21
sure	ADJ	10	vol-21
right	ADJ	36	vol-21
orange	ADJ	6	vol-21
true	ADJ	15	vol-21
different	ADJ	5	vol-21
green	ADJ	14	vol-21
different	ADJ	5	vol-21
2nd	ADJ	1	vol-21
5th	ADJ	1	vol-21
same	ADJ	6	vol-21
right	ADJ	36	vol-21
correct	ADJ	12	vol-21
current	ADJ	4	vol-21
easy	ADJ	15	vol-21
right	ADJ	36	vol-21
little	ADJ	10	vol-21
most	ADJ	5	vol-21
former	ADJ	5	vol-21
first	ADJ	16	vol-21
drunk	ADJ	9	vol-21
surprised	ADJ	4	vol-21
second	ADJ	15	vol-21
second	ADJ	15	vol-21
strong	ADJ	10	vol-21
little	ADJ	10	vol-21
lonely	ADJ	4	vol-21
happy	ADJ	4	vol-21
sober	ADJ	7	vol-21
different	ADJ	5	vol-21
other	ADJ	4	vol-21
next	ADJ	4	vol-21
big	ADJ	17	vol-21
much	ADJ	7	vol-21
good	ADJ	27	vol-25
sudden	ADJ	1	vol-25
related	ADJ	7	vol-25
fast	ADJ	15	vol-25
good	ADJ	27	vol-25
ro	ADJ	1	vol-25
naked	ADJ	5	vol-25
favourite	ADJ	5	vol-25
naked	ADJ	5	vol-25
english	ADJ	6	vol-25
other	ADJ	4	vol-25
honorific	ADJ	2	vol-25
good	ADJ	27	vol-25
middle	ADJ	9	vol-25
next	ADJ	4	vol-25
long	ADJ	12	vol-25
right	ADJ	36	vol-25
left	ADJ	24	vol-25
middle	ADJ	9	vol-25
many	ADJ	1	vol-25
proper	ADJ	4	vol-25
floaty	ADJ	1	vol-25
sumo	ADJ	1	vol-25
good	ADJ	27	vol-25
high	ADJ	18	vol-25
north	ADJ	9	vol-25
american	ADJ	5	vol-25
correct	ADJ	12	vol-25
big	ADJ	17	vol-25
more	ADJ	5	vol-25
right	ADJ	36	vol-25
left	ADJ	24	vol-25
heavy	ADJ	30	vol-25
right	ADJ	36	vol-25
left	ADJ	24	vol-25
right	ADJ	36	vol-25
left	ADJ	24	vol-25
single	ADJ	10	vol-25
true	ADJ	15	vol-25
massive	ADJ	4	vol-25
serious	ADJ	6	vol-25
same	ADJ	6	vol-25
merry	ADJ	3	vol-25
merry	ADJ	3	vol-25
violent	ADJ	5	vol-25
dangerous	ADJ	2	vol-25
near	ADJ	9	vol-25
large	ADJ	11	vol-25
small	ADJ	13	vol-25
fun	ADJ	4	vol-25
surprised	ADJ	4	vol-25
late	ADJ	11	vol-25
huge	ADJ	1	vol-25
fuzzy	ADJ	3	vol-25
fuzzy	ADJ	3	vol-25
next	ADJ	4	vol-25
possible	ADJ	4	vol-19
main	ADJ	5	vol-19
left	ADJ	24	vol-19
enough	ADJ	3	vol-19
old	ADJ	9	vol-19
same	ADJ	6	vol-19
human	ADJ	4	vol-19
right	ADJ	36	vol-19
fried	ADJ	4	vol-19
chinese	ADJ	4	vol-19
old	ADJ	9	vol-19
good	ADJ	27	vol-19
old	ADJ	9	vol-19
slow	ADJ	11	vol-19
old	ADJ	9	vol-19
human	ADJ	4	vol-19
old	ADJ	9	vol-19
bad	ADJ	17	vol-19
nice	ADJ	6	vol-19
next	ADJ	4	vol-19
same	ADJ	6	vol-19
many	ADJ	1	vol-19
same	ADJ	6	vol-19
well	ADJ	22	vol-19
middle	ADJ	9	vol-19
high	ADJ	18	vol-19
8th	ADJ	1	vol-19
worried	ADJ	8	vol-19
other	ADJ	4	vol-19
serious	ADJ	6	vol-19
serious	ADJ	6	vol-19
special	ADJ	10	vol-19
dangerous	ADJ	2	vol-19
next	ADJ	4	vol-19
bloody	ADJ	4	vol-19
surprising	ADJ	4	vol-19
same	ADJ	6	vol-19
right	ADJ	36	vol-19
full	ADJ	13	vol-19
big	ADJ	17	vol-19
sayeen	ADJ	0	vol-19
right	ADJ	36	vol-19
only	ADJ	9	vol-19
right	ADJ	36	vol-19
next	ADJ	4	vol-19
sure	ADJ	10	vol-18
difficult	ADJ	2	vol-18
open	ADJ	36	vol-18
embarrassed	ADJ	4	vol-18
entire	ADJ	5	vol-18
sure	ADJ	10	vol-18
embarrassing	ADJ	4	vol-18
secret	ADJ	14	vol-18
bad	ADJ	17	vol-18
happy	ADJ	4	vol-18
