character	Source Node Attribute	countSpeechesInEpisode	Episode ID
DONNY: STEADY ON, FINN. PERHAPS YOU ARE DEHYDRATED! IT'S AS JAKE TAUGHT ME	character	1	ATE21.xml
HOUSE PEOPLE	character	1	ATE21.xml
RED-TIE BUSINESSMAN	character	19	ATE8.xml
BUSINESSMEN	character	4	ATE8.xml
HOT DOG PRINCESS	character	3	ATE8.xml
BUSINESSMAN	character	1	ATE8.xml
VIDEO GAME	character	1	ATE8.xml
A VOICE IN THE DISTANCE	character	3	ATE8.xml
FUZZY FRIENDS	character	1	ATE8.xml
SHELBY	character	5	ATE9.xml
CLOUD MAN	character	2	ATE9.xml
TIFFANY	character	3	ATE9.xml
