<xml><header>title	year	country	runtime</header>
<movie>Heaven &amp; Earth	1993	"France, USA"	140 min</movie>
<movie>Killing Zoe	1993	"France, USA"	96 min</movie>
<movie>Sommersby	1993	"France, USA"	114 min</movie>
<movie>Necronomicon: Book of Dead	1993	"France, USA"	96 min</movie>
<movie>Body of Evidence	1993	"Germany, USA"	99 min</movie>
<movie>The Eight Immortals Restaurant: The Untold Story	1993	Hong Kong	96 min</movie>
<movie>Honor and Glory	1993	"Hong Kong, USA"	84 min</movie>
<movie>Rage and Honor II	1993	"Indonesia, USA"	98 min</movie>
<movie>In the Name of the Father	1993	"Ireland, UK, USA"	133 min</movie>
<movie>Little Buddha	1993	"Italy, France, Liechtenstein, UK"	123 min</movie>
<movie>Son of the Pink Panther	1993	"Italy, USA"	93 min</movie>
<movie>Trauma	1993	"Italy, USA"	106 min</movie>
<movie>Dangerous Game	1993	"Italy, USA"	108 min</movie>
<movie>Lupin III: Voyage to Danger	1993	Japan	90 min</movie>
<movie>The Baby of M�con	1993	"Netherlands, France, UK, Germany"	122 min</movie>
<movie>The Piano	1993	"New Zealand, Australia, France"	121 min</movie>
<movie>The House of the Spirits	1993	"Portugal, Germany, Denmark, USA, France"	140 min</movie>
<movie>Dark Waters	1993	"Russia, Italy, UK"	94 min</movie>
<movie>The Gospel According to Matthew	1993	South Africa	258 min</movie>
<movie>Century	1993	UK	112 min</movie>
<movie>Animal Liberation: The Movie	1993	UK	20 min</movie>
<movie>The Wrong Trousers	1993	UK	30 min</movie>
<movie>The Snapper	1993	UK	91 min</movie>
<movie>Sharpe's Eagle	1993	UK	100 min</movie>
<movie>Bill Hicks: Revelations	1993	UK	57 min</movie>
<movie>Are We Still Married: Stille Nacht II	1993	UK	3 min</movie>
<movie>Naked	1993	UK	132 min</movie>
<movie>Shadowlands	1993	UK	131 min</movie>
<movie>Sharpe's Rifles	1993	UK	102 min</movie>
<movie>Raining Stones	1993	UK	90 min</movie>
<movie>Paul Calf's Video Diary	1993	UK	34 min</movie>
<movie>Detonator	1993	"UK, Croatia, USA"	100 min</movie>
<movie>The Young Americans	1993	"UK, France"	103 min</movie>
<movie>Blue	1993	"UK, Japan"	79 min</movie>
<movie>Wittgenstein	1993	"UK, Japan"	72 min</movie>
<movie>Much Ado About Nothing	1993	"UK, USA"	111 min</movie>
<movie>Super Mario Bros.	1993	"UK, USA"	104 min</movie>
<movie>Posse	1993	"UK, USA"	111 min</movie>
<movie>Romeo Is Bleeding	1993	"UK, USA"	110 min</movie>
<movie>Ethan Frome	1993	"UK, USA"	99 min</movie>
<movie>The Thief and the Cobbler	1993	"UK, USA, Canada"	90 min</movie>
<movie>Born Yesterday	1993	USA	100 min</movie>
<movie>Prison Heat	1993	USA	91 min</movie>
<movie>Blink	1993	USA	106 min</movie>
<movie>My Boyfriend's Back	1993	USA	85 min</movie>
<movie>Geronimo	1993	USA	100 min</movie>
<movie>Space Zombie Bingo!!!	1993	USA	75 min</movie>
<movie>We're Back! A Dinosaur's Story	1993	USA	72 min</movie>
<movie>Speedtrap	1993	USA	82 min</movie>
<movie>Another Stakeout	1993	USA	108 min</movie>
<movie>Undercover Blues	1993	USA	90 min</movie>
<movie>Suture	1993	USA	96 min</movie>
<movie>"Double, Double Toil and Trouble"	1993	USA	96 min</movie>
<movie>Addams Family Values	1993	USA	94 min</movie>
<movie>Night Terrors	1993	USA	98 min</movie>
<movie>Age of Treason	1993	USA	93 min</movie>
<movie>Aspen Extreme	1993	USA	113 min</movie>
<movie>Dollman vs. Demonic Toys	1993	USA	64 min</movie>
<movie>Dennis the Menace	1993	USA	94 min</movie>
<movie>Weekend at Bernie's II	1993	USA	97 min</movie>
<movie>Carnosaur	1993	USA	83 min</movie>
<movie>Homeward Bound: The Incredible Journey	1993	USA	84 min</movie>
<movie>Street Knight	1993	USA	91 min</movie>
<movie>Rio Diablo	1993	USA	92 min</movie>
<movie>Philadelphia Experiment II	1993	USA	97 min</movie>
<movie>Psycho Cop Returns	1993	USA	80 min</movie>
<movie>Amos &amp; Andrew	1993	USA	96 min</movie>
<movie>Batman: Mask of the Phantasm	1993	USA	76 min</movie>
<movie>Road to Revenge	1993	USA	90 min</movie>
<movie>Class of '61	1993	USA	95 min</movie>
<movie>RoboCop 3	1993	USA	104 min</movie>
<movie>Snapdragon	1993	USA	98 min</movie>
<movie>Indecent Proposal	1993	USA	117 min</movie>
<movie>Menace II Society	1993	USA	97 min</movie>
<movie>Cop &amp; _	1993	USA	97 min</movie>
<movie>Naked in New York	1993	USA	95 min</movie>
<movie>The Secret Garden	1993	USA	101 min</movie>
<movie>Daybreak	1993	USA	91 min</movie>
<movie>The Man Without a Face	1993	USA	115 min</movie>
<movie>Wilder Napalm	1993	USA	109 min</movie>
<movie>Red Rock West	1993	USA	98 min</movie>
<movie>A Home of Our Own	1993	USA	104 min</movie>
<movie>Sister Act 2: Back in the Habit	1993	USA	107 min</movie>
<movie>Beyond the Law	1993	USA	108 min</movie>
<movie>The Crush	1993	USA	89 min</movie>
<movie>The War Room	1993	USA	96 min</movie>
<movie>The Thing Called Love	1993	USA	116 min</movie>
<movie>Army of One	1993	USA	106 min</movie>
<movie>Gunmen	1993	USA	94 min</movie>
<movie>CB4	1993	USA	89 min</movie>
<movie>The Meteor Man	1993	USA	100 min</movie>
<movie>"Blood In, Blood Out"	1993	USA	180 min</movie>
<movie>Short Cuts	1993	USA	188 min</movie>
<movie>Mad Dog and Glory	1993	USA	97 min</movie>
<movie>What's Love Got to Do with It	1993	USA	118 min</movie>
<movie>Skylark	1993	USA	95 min</movie>
<movie>Pumpkinhead II: Blood Wings	1993	USA	88 min</movie>
<movie>Tombstone	1993	USA	130 min</movie>
<movie>Lady	1993	USA	28 min</movie>
<movie>Rigoletto	1993	USA	98 min</movie>
<movie>Jack the Bear	1993	USA	99 min</movie>
<movie>Lost in Yonkers	1993	USA	114 min</movie>
<movie>Untamed Heart	1993	USA	102 min</movie>
<movie>Coneheads	1993	USA	88 min</movie>
<movie>Me and the Kid	1993	USA	94 min</movie>
<movie>"Clean, Shaven"	1993	USA	79 min</movie>
<movie>Gettysburg	1993	USA	271 min</movie>
<movie>Beethoven's 2nd	1993	USA	89 min</movie>
<movie>Puppet Master 4	1993	USA	79 min</movie>
<movie>Man's Best Friend	1993	USA	87 min</movie>
<movie>Loaded Weapon 1	1993	USA	84 min</movie>
<movie>Rising Sun	1993	USA	129 min</movie>
<movie>Fatal Instinct	1993	USA	91 min</movie>
<movie>Mrs. Doubtfire	1993	USA	125 min</movie>
<movie>What's Eating Gilbert Grape	1993	USA	118 min</movie>
<movie>Groundhog Day	1993	USA	101 min</movie>
<movie>For Love or Money	1993	USA	96 min</movie>
<movie>And the Band Played On	1993	USA	141 min</movie>
<movie>Rudy	1993	USA	114 min</movie>
<movie>The Pelican Brief	1993	USA	141 min</movie>
<movie>Magic Kid	1993	USA	90 min</movie>
<movie>Full Eclipse	1993	USA	93 min</movie>
<movie>When the Party's Over	1993	USA	114 min</movie>
<movie>You Only Die Once	1993	USA	83 min</movie>
<movie>A Far Off Place	1993	USA	108 min</movie>
<movie>Needful Things	1993	USA	120 min</movie>
<movie>Hidden Hawaii	1993	USA	34 min</movie>
<movie>The Hidden II	1993	USA	91 min</movie>
<movie>Guilty as Sin	1993	USA	107 min</movie>
<movie>Sherlock Holmes Returns	1993	USA	96 min</movie>
<movie>Son in Law	1993	USA	95 min</movie>
<movie>The Age of Innocence	1993	USA	139 min</movie>
<movie>Benny &amp; Joon	1993	USA	98 min</movie>
<movie>The Sandlot	1993	USA	101 min</movie>
<movie>It Was a Wonderful Life	1993	USA	82 min</movie>
<movie>The Beverly Hillbillies	1993	USA	92 min</movie>
<movie>Even Cowgirls Get the Blues	1993	USA	95 min</movie>
<movie>No More Dirty Deals	1993	USA	91 min</movie>
<movie>A Matter of Justice	1993	USA	240 min</movie>
<movie>Cyborg 2: Glass Shadow	1993	USA	99 min</movie>
<movie>Demolition Man	1993	USA	115 min</movie>
<movie>Bopha!	1993	USA	120 min</movie>
<movie>Public Enemy #2	1993	USA	N/A</movie>
<movie>This Boy's Life	1993	USA	115 min</movie>
<movie>The ButterCream Gang in Secret of Treasure Mountain	1993	USA	80 min</movie>
<movie>The Junky's Christmas	1993	USA	21 min</movie>
<movie>Poetic Justice	1993	USA	109 min</movie>
<movie>A Bronx Tale	1993	USA	121 min</movie>
<movie>Guns N' Roses: Makin' F@*!ing Videos Part I - Don't Cry	1993	USA	60 min</movie>
<movie>Andrew Dice Clay and His Gang Live! The Valentine's Day Massacre	1993	USA	108 min</movie>
<movie>Six Degrees of Separation	1993	USA	112 min</movie>
<movie>Nowhere to Run	1993	USA	94 min</movie>
<movie>Cool Runnings	1993	USA	98 min</movie>
<movie>Last Action Hero	1993	USA	130 min</movie>
<movie>So I Married an Axe Murderer	1993	USA	93 min</movie>
<movie>Wayne's World 2	1993	USA	95 min</movie>
<movie>Dragon: The Bruce Lee Story	1993	USA	120 min</movie>
<movie>Hocus Pocus	1993	USA	96 min</movie>
<movie>In the Line of Fire	1993	USA	128 min</movie>
<movie>Searching for Bobby Fischer	1993	USA	109 min</movie>
<movie>Sade - Life Promise Pride Love	1993	USA	55 min</movie>
<movie>Jurassic Park	1993	USA	127 min</movie>
<movie>Whose Child Is This? The War for Baby Jessica	1993	USA	96 min</movie>
<movie>Hard Target	1993	USA	97 min</movie>
<movie>Amityville: A New Generation	1993	USA	91 min</movie>
<movie>Ice Woman	1993	USA	78 min</movie>
<movie>Philadelphia	1993	USA	125 min</movie>
<movie>Twenty Bucks	1993	USA	91 min</movie>
<movie>Kalifornia	1993	USA	117 min</movie>
<movie>Single Alien Seeks Horny Earth Girl	1993	USA	50 min</movie>
<movie>Dazed and Confused	1993	USA	102 min</movie>
<movie>Schindler's List	1993	USA	195 min</movie>
<movie>Manhattan Murder Mystery	1993	USA	104 min</movie>
<movie>The Dark Half	1993	USA	122 min</movie>
<movie>Barbarians at the Gate	1993	USA	107 min</movie>
<movie>A Perfect World	1993	USA	138 min</movie>
<movie>Taxi Girls 3: Killer on the Loose	1993	USA	N/A</movie>
<movie>The Nightmare Before Christmas	1993	USA	76 min</movie>
<movie>Hot Shots! Part Deux	1993	USA	86 min</movie>
<movie>Point of No Return	1993	USA	109 min</movie>
<movie>Nikki's Return	1993	USA	90 min</movie>
<movie>Engelbert Humperdinck: Blazing a Silver Trail	1993	USA	85 min</movie>
<movie>Carlito's Way	1993	USA	144 min</movie>
<movie>Swing Kids	1993	USA	112 min</movie>
<movie>Geronimo: An American Legend	1993	USA	115 min</movie>
<movie>Sliver	1993	USA	107 min</movie>
<movie>Cannibal! The Musical	1993	USA	95 min</movie>
<movie>Sleepless in Seattle	1993	USA	105 min</movie>
<movie>Fire in the Sky	1993	USA	109 min</movie>
<movie>King of the Hill	1993	USA	103 min</movie>
<movie>Mr. Wonderful	1993	USA	98 min</movie>
<movie>Grumpy Old Men	1993	USA	103 min</movie>
<movie>The Vanishing	1993	USA	109 min</movie>
<movie>Leprechaun	1993	USA	92 min</movie>
<movie>Life with Mikey	1993	USA	91 min</movie>
<movie>Flesh and Bone	1993	USA	126 min</movie>
<movie>Dream Lover	1993	USA	103 min</movie>
<movie>Father Hood	1993	USA	95 min</movie>
<movie>"Metallica: Live Shit - Binge &amp; Purge, San Diego"	1993	USA	340 min</movie>
<movie>American Ninja 5	1993	USA	102 min</movie>
<movie>Bloodstone: Subspecies II	1993	USA	107 min</movie>
<movie>Witchboard 2	1993	USA	98 min</movie>
<movie>Lake Consequence	1993	USA	90 min</movie>
<movie>Rookie of the Year	1993	USA	103 min</movie>
<movie>The Last Outlaw	1993	USA	93 min</movie>
<movie>Matinee	1993	USA	99 min</movie>
<movie>Striking Distance	1993	USA	102 min</movie>
<movie>Bob Dylan: 30th Anniversary Concert Celebration	1993	USA	204 min</movie>
<movie>Money for Nothing	1993	USA	100 min</movie>
<movie>The Firm	1993	USA	154 min</movie>
<movie>"Metallica: Live Shit - Binge &amp; Purge, Seattle"	1993	USA	141 min</movie>
<movie>The Program	1993	USA	112 min</movie>
<movie>Maniac Cop 3: Badge of Silence	1993	USA	85 min</movie>
<movie>The Good Son	1993	USA	87 min</movie>
<movie>Look Who's Talking Now	1993	USA	96 min</movie>
<movie>Body Bags	1993	USA	91 min</movie>
<movie>Fearless	1993	USA	122 min</movie>
<movie>The Night We Never Met	1993	USA	99 min</movie>
<movie>Best of the Best II	1993	USA	101 min</movie>
<movie>Jason Goes to Hell: The Final Friday	1993	USA	87 min</movie>
<movie>The Man from Left Field	1993	USA	96 min</movie>
<movie>12:01	1993	USA	92 min</movie>
<movie>M. Butterfly	1993	USA	101 min</movie>
<movie>Last Light	1993	USA	104 min</movie>
<movie>American Yakuza	1993	USA	96 min</movie>
<movie>Jailbait	1993	USA	102 min</movie>
<movie>Slaughter of the Innocents	1993	USA	104 min</movie>
<movie>Excessive Force	1993	USA	87 min</movie>
<movie>Dave	1993	USA	110 min</movie>
<movie>My Life	1993	USA	117 min</movie>
<movie>Mr. Jones	1993	USA	114 min</movie>
<movie>Heart and Souls	1993	USA	104 min</movie>
<movie>The Ballad of Little Jo	1993	USA	121 min</movie>
<movie>Airborne	1993	USA	91 min</movie>
<movie>The Temp	1993	USA	99 min</movie>
<movie>The Real McCoy	1993	USA	105 min</movie>
<movie>Wrestling Ernest Hemingway	1993	USA	123 min</movie>
<movie>Warlock: The Armageddon	1993	USA	98 min</movie>
<movie>Body Snatchers	1993	USA	87 min</movie>
<movie>Madonna: The Girlie Show - Live Down Under	1993	"USA, Australia"	120 min</movie>
<movie>Alive	1993	"USA, Canada"	120 min</movie>
<movie>Babylon 5: The Gathering	1993	"USA, Canada"	89 min</movie>
<movie>The Joy Luck Club	1993	"USA, China"	139 min</movie>
<movie>Only the Strong	1993	"USA, France"	99 min</movie>
<movie>True Romance	1993	"USA, France"	119 min</movie>
<movie>Arizona Dream	1993	"USA, France"	142 min</movie>
<movie>Made in America	1993	"USA, France"	111 min</movie>
<movie>Free Willy	1993	"USA, France"	112 min</movie>
<movie>Teenage Mutant Ninja Turtles III	1993	"USA, Hong Kong"	96 min</movie>
<movie>Cliffhanger	1993	"USA, Italy, France"	113 min</movie>
<movie>Return of the Living Dead III	1993	"USA, Japan"	97 min</movie>
<movie>Judgment Night	1993	"USA, Japan"	110 min</movie>
<movie>Sniper	1993	"USA, Peru"	98 min</movie>
<movie>Fire on the Amazon	1993	"USA, Peru"	87 min</movie>
<movie>Fear of a Black Hat	1993	"USA, UK"	88 min</movie>
<movie>The Remains of the Day	1993	"USA, UK"	134 min</movie>
<movie>Doppelganger	1993	"USA, UK"	104 min</movie>
<movie>Of Love and Shadows	1994	"Argentina, USA"	103 min</movie>
<movie>Mary	1994	Australia	75 min</movie>
<movie>"The Adventures of Priscilla, Queen of the Desert"	1994	Australia	104 min</movie>
<movie>The Sum of Us	1994	Australia	100 min</movie>
<movie>Muriel's Wedding	1994	"Australia, France"	106 min</movie>
<movie>Sirens	1994	"Australia, UK"	98 min</movie>
<movie>Tigrero: A Film That Was Never Made	1994	"Brazil, Finland, Germany"	75 min</movie>
<movie>Bruce Lee: The Lost Interview	1994	Canada	30 min</movie>
<movie>Exotica	1994	Canada	103 min</movie>
<movie>Time Capsule: WW II - War in the Pacific	1994	"Canada, USA"	N/A</movie>
<movie>Destiny in Space	1994	"Canada, USA"	40 min</movie>
<movie>Timecop	1994	"Canada, USA, Japan"	99 min</movie>
<movie>Brainscan	1994	"Canada, USA, UK"	96 min</movie>
<movie>Accumulator 1	1994	Czech Republic	102 min</movie>
<movie>Leningrad Cowboys Meet Moses	1994	"Finland, Germany, France"	94 min</movie>
<movie>L�on: The Professional	1994	France	110 min</movie>
<movie>Emmanuelle 6: One Final Fling	1994	France	87 min</movie>
<movie>Nostradamus	1994	"France, UK, Germany, Romania"	119 min</movie>
<movie>Stargate	1994	"France, USA"	116 min</movie>
<movie>The Glass Shield	1994	"France, USA"	109 min</movie>
<movie>Giorgino	1994	"France, USA"	177 min</movie>
<movie>Asterix in America	1994	"Germany, France, Spain"	85 min</movie>
<movie>Lisbon Story	1994	"Germany, Portugal"	100 min</movie>
<movie>The Fantastic Four	1994	"Germany, USA"	90 min</movie>
<movie>The NeverEnding Story III	1994	"Germany, USA"	95 min</movie>
<movie>Magic Hunter	1994	"Hungary, Switzerland, France"	106 min</movie>
<movie>A Troll in Central Park	1994	"Ireland, USA"	76 min</movie>
<movie>The Tibetan Book of the Dead: A Way of Life	1994	"Japan, France, Canada"	46 min</movie>
<movie>The Tibetan Book of the Dead: The Great Liberation	1994	"Japan, France, Canada"	45 min</movie>
<movie>Picture Bride	1994	"Japan, USA"	94 min</movie>
<movie>Monkey Trouble	1994	"Japan, USA"	96 min</movie>
<movie>Street Fighter	1994	"Japan, USA"	102 min</movie>
<movie>Royal Deceit	1994	"Netherlands, UK, Denmark, France, Germany"	103 min</movie>
<movie>Once Were Warriors	1994	New Zealand	102 min</movie>
<movie>Heavenly Creatures	1994	"New Zealand, Germany"	99 min</movie>
<movie>Hercules: The Legendary Journeys - Hercules and the Circle of Fire	1994	"New Zealand, USA"	91 min</movie>
<movie>Hercules in the Underworld	1994	"New Zealand, USA"	90 min</movie>
<movie>Hercules in the Maze of the Minotaur	1994	"New Zealand, USA"	90 min</movie>
<movie>The Specialist	1994	"Peru, USA"	110 min</movie>
<movie>Champions 2: Manchester United Official Review of the 93/94 Season	1994	UK	90 min</movie>
<movie>Glitterbug	1994	UK	60 min</movie>
<movie>Four Weddings and a Funeral	1994	UK	117 min</movie>
<movie>Trying to Kiss the Moon	1994	UK	95 min</movie>
<movie>Sharpe's Company	1994	UK	100 min</movie>
<movie>The Madness of King George	1994	UK	110 min</movie>
<movie>Priest	1994	UK	98 min</movie>
<movie>Shallow Grave	1994	UK	89 min</movie>
<movie>Pink Floyd: P. U. L. S. E. Live at Earls Court	1994	UK	145 min</movie>
<movie>"Josef von Sternberg, the Man Who Made Dietrich"	1994	UK	20 min</movie>
<movie>Sister My Sister	1994	UK	86 min</movie>
<movie>The Browning Version	1994	UK	97 min</movie>
<movie>Ken Dodd: An Audience with Ken Dodd	1994	UK	75 min</movie>
<movie>Hell's Angel	1994	UK	25 min</movie>
<movie>Captives	1994	UK	100 min</movie>
<movie>Sharpe's Honour	1994	UK	101 min</movie>
<movie>Sharpe's Enemy	1994	UK	90 min</movie>
<movie>Ladybird Ladybird	1994	UK	101 min</movie>
<movie>London	1994	UK	85 min</movie>
<movie>Eddie Izzard: Unrepeatable	1994	UK	75 min</movie>
<movie>Highlander: The Final Dimension	1994	"UK, France, Canada"	99 min</movie>
<movie>War of the Buttons	1994	"UK, France, Japan, USA"	94 min</movie>
<movie>Death and the Maiden	1994	"UK, France, USA"	103 min</movie>
<movie>Backbeat	1994	"UK, Germany"	100 min</movie>
<movie>The Hudsucker Proxy	1994	"UK, Germany, USA"	111 min</movie>
<movie>Uncovered	1994	"UK, Spain, France"	103 min</movie>
<movie>Tom &amp; Viv	1994	"UK, USA"	115 min</movie>
<movie>Immortal Beloved	1994	"UK, USA"	121 min</movie>
<movie>The Last Seduction	1994	"UK, USA"	110 min</movie>
<movie>Oleanna	1994	"UK, USA"	89 min</movie>
<movie>The Whipping Boy	1994	"UK, USA, Germany, France"	96 min</movie>
<movie>Kama Sutra: The Art of Making Love	1994	USA	47 min</movie>
<movie>Quiz Show	1994	USA	133 min</movie>
<movie>Wyatt Earp	1994	USA	191 min</movie>
<movie>A Simple Twist of Fate	1994	USA	106 min</movie>
<movie>Sinderella: Part Two	1994	USA	75 min</movie>
<movie>Bullets Over Broadway	1994	USA	98 min</movie>
<movie>Vanya on 42nd Street	1994	USA	119 min</movie>
<movie>Ready to Wear	1994	USA	133 min</movie>
<movie>Without Warning	1994	USA	100 min</movie>
<movie>The Story of Ruth	1994	USA	30 min</movie>
<movie>MacGyver: Lost Treasure of Atlantis	1994	USA	93 min</movie>
<movie>Ed Wood	1994	USA	127 min</movie>
<movie>Maverick	1994	USA	127 min</movie>
<movie>The Scout	1994	USA	101 min</movie>
<movie>The Paper	1994	USA	112 min</movie>
<movie>The Desperate Trail	1994	USA	93 min</movie>
<movie>Trevor	1994	USA	23 min</movie>
<movie>Africa: The Serengeti	1994	USA	39 min</movie>
<movie>Texas Chainsaw Massacre: The Next Generation	1994	USA	95 min</movie>
<movie>With Honors	1994	USA	101 min</movie>
<movie>Cobb	1994	USA	128 min</movie>
<movie>The Client	1994	USA	119 min</movie>
<movie>No Time	1994	USA	23 min</movie>
<movie>Fatherland	1994	USA	106 min</movie>
<movie>Camp Nowhere	1994	USA	96 min</movie>
<movie>Crooklyn	1994	USA	115 min</movie>
<movie>Roswell	1994	USA	91 min</movie>
<movie>Blank Check	1994	USA	93 min</movie>
<movie>China Moon	1994	USA	99 min</movie>
<movie>On Deadly Ground	1994	USA	101 min</movie>
<movie>The Cowboy Way	1994	USA	102 min</movie>
<movie>Flashfire	1994	USA	88 min</movie>
<movie>PCU	1994	USA	79 min</movie>
<movie>The Road to Wellville	1994	USA	118 min</movie>
<movie>Phantasm III: Lord of the Dead	1994	USA	91 min</movie>
<movie>Hard Vice	1994	USA	86 min</movie>
<movie>"Corrina, Corrina"	1994	USA	115 min</movie>
<movie>Imaginary Crimes	1994	USA	107 min</movie>
<movie>Point of Seduction: Body Chemistry III	1994	USA	90 min</movie>
<movie>Angels in the Outfield	1994	USA	102 min</movie>
<movie>Blue Sky	1994	USA	101 min</movie>
<movie>River of Grass	1994	USA	76 min</movie>
<movie>Renaissance Man	1994	USA	128 min</movie>
<movie>Don't Talk to Strangers	1994	USA	98 min</movie>
<movie>Barcelona	1994	USA	101 min</movie>
<movie>Puppet Master 5	1994	USA	82 min</movie>
<movie>Bloodlust: Subspecies III	1994	USA	83 min</movie>
<movie>Trancers 4: Jack of Swords	1994	USA	74 min</movie>
<movie>Squanto: A Warrior's Tale	1994	USA	102 min</movie>
<movie>Jason's Lyric	1994	USA	119 min</movie>
<movie>It Runs in the Family	1994	USA	85 min</movie>
<movie>Guyver: Dark Hero	1994	USA	127 min</movie>
<movie>Guarding Tess	1994	USA	96 min</movie>
<movie>Clifford	1994	USA	90 min</movie>
<movie>The Shadow	1994	USA	108 min</movie>
<movie>Intersection	1994	USA	98 min</movie>
<movie>"Class of Nuke 'Em High Part 3: The Good, the Bad and the Subhumanoid"	1994	USA	102 min</movie>
<movie>Chasers	1994	USA	102 min</movie>
<movie>Sleep with Me	1994	USA	86 min</movie>
<movie>Bandit: Bandit Goes Country	1994	USA	94 min</movie>
<movie>Bandit: Beauty and the Bandit	1994	USA	92 min</movie>
<movie>Bandit: Bandit Bandit	1994	USA	92 min</movie>
<movie>Bandit: Bandit's Silver Angel	1994	USA	91 min</movie>
<movie>Milk Money	1994	USA	110 min</movie>
<movie>Bad Girls	1994	USA	99 min</movie>
<movie>The War	1994	USA	126 min</movie>
<movie>Star Trek: Generations	1994	USA	118 min</movie>
<movie>Circus of the Stars Goes to Disneyland	1994	USA	N/A</movie>
<movie>It Could Happen to You	1994	USA	101 min</movie>
<movie>In the Army Now	1994	USA	91 min</movie>
<movie>That's Entertainment! III	1994	USA	113 min</movie>
<movie>Wolf	1994	USA	125 min</movie>
<movie>Cyborg 3: The Recycler	1994	USA	90 min</movie>
<movie>Greedy	1994	USA	113 min</movie>
<movie>A Dangerous Place	1994	USA	97 min</movie>
<movie>Clerks	1994	USA	92 min</movie>
<movie>MacGyver: Trail to Doomsday	1994	USA	93 min</movie>
<movie>Rapa Nui	1994	USA	107 min</movie>
<movie>Iron Will	1994	USA	108 min</movie>
<movie>Magic Kid II	1994	USA	87 min</movie>
<movie>Little Giants	1994	USA	107 min</movie>
<movie>Felony	1994	USA	93 min</movie>
<movie>Endangered	1994	USA	91 min</movie>
<movie>When a Man Loves a Woman	1994	USA	126 min</movie>
<movie>The Chase	1994	USA	94 min</movie>
<movie>Alien Nation: Dark Horizon	1994	USA	90 min</movie>
<movie>Against the Wall	1994	USA	111 min</movie>
<movie>Interview with the Vampire: The Vampire Chronicles	1994	USA	123 min</movie>
<movie>City Slickers II: The Legend of Curly's Gold	1994	USA	116 min</movie>
<movie>Beverly Hills Cop III	1994	USA	104 min</movie>
<movie>Clear and Present Danger	1994	USA	141 min</movie>
<movie>Natural Born Killers	1994	USA	118 min</movie>
<movie>The River Wild	1994	USA	111 min</movie>
<movie>Forrest Gump	1994	USA	142 min</movie>
<movie>The Sweet Sweet Back 2: Double Thaanng dat Black Hole	1994	USA	N/A</movie>
<movie>She-Male Voyager	1994	USA	N/A</movie>
<movie>Color of Night	1994	USA	121 min</movie>
<movie>True Lies	1994	USA	141 min</movie>
<movie>S.F.W.	1994	USA	96 min</movie>
<movie>Hoop Dreams	1994	USA	170 min</movie>
<movie>Love and a .45	1994	USA	101 min</movie>
<movie>Don Juan DeMarco	1994	USA	97 min</movie>
<movie>Sports Illustrated 1994 Swimsuit Issue Video	1994	USA	N/A</movie>
<movie>"The Johnny Carson Collection, His Favorite Moments from 'The Tonight Show': 1962-1992"	1994	USA	N/A</movie>
<movie>The Crow	1994	USA	102 min</movie>
<movie>How to Operate Your Brain	1994	USA	N/A</movie>
<movie>Spread the Word: The Persuasions Sing Acapella	1994	USA	80 min</movie>
<movie>David Copperfield: 15 Years of Magic	1994	USA	130 min</movie>
<movie>Dumb and Dumber	1994	USA	107 min</movie>
<movie>Blue Chips	1994	USA	108 min</movie>
<movie>Baby's Day Out	1994	USA	99 min</movie>
<movie>The Next Karate Kid	1994	USA	107 min</movie>
<movie>Threesome	1994	USA	89 min</movie>
<movie>Holy Matrimony	1994	USA	93 min</movie>
<movie>White Fang 2: Myth of the White Wolf	1994	USA	106 min</movie>
<movie>Loyalty &amp; Betrayal: The Story of the American Mob	1994	USA	N/A</movie>
<movie>Boxer Rebellion	1994	USA	N/A</movie>
<movie>Jimmy Hollywood	1994	USA	112 min</movie>
<movie>Above the Rim	1994	USA	96 min</movie>
<movie>Police Academy: Mission to Moscow	1994	USA	83 min</movie>
<movie>Cabin Boy	1994	USA	80 min</movie>
<movie>Clean Slate	1994	USA	107 min</movie>
<movie>Miracle on 34th Street	1994	USA	114 min</movie>
<movie>Trapped in Paradise	1994	USA	111 min</movie>
<movie>Ace Ventura: Pet Detective	1994	USA	86 min</movie>
<movie>D2: The Mighty Ducks	1994	USA	106 min</movie>
<movie>Love Affair	1994	USA	108 min</movie>
<movie>Airheads	1994	USA	92 min</movie>
<movie>The Mask	1994	USA	101 min</movie>
<movie>Disclosure	1994	USA	128 min</movie>
<movie>Crumb	1994	USA	119 min</movie>
<movie>Honor Thy Father and Mother: The True Story of the Menendez Murders	1994	USA	93 min</movie>
<movie>Legends of the Fall	1994	USA	133 min</movie>
<movie>The Lion King	1994	USA	88 min</movie>
<movie>Confessions of a Sorority Girl	1994	USA	82 min</movie>
<movie>Eagles: Hell Freezes Over	1994	USA	100 min</movie>
<movie>Naked Gun 33 1/3: The Final Insult	1994	USA	83 min</movie>
<movie>The Shawshank Redemption	1994	USA	142 min</movie>
<movie>Speed	1994	USA	116 min</movie>
<movie>Pulp Fiction	1994	USA	154 min</movie>
<movie>Nobody's Fool	1994	USA	110 min</movie>
<movie>The Story of Mount Rushmore: America in Stone	1994	USA	39 min</movie>
<movie>8 Seconds	1994	USA	105 min</movie>
<movie>The Puppet Masters	1994	USA	109 min</movie>
<movie>Reality Bites	1994	USA	99 min</movie>
<movie>In the Mouth of Madness	1994	USA	95 min</movie>
<movie>Surviving the Game	1994	USA	96 min</movie>
<movie>Major League II	1994	USA	105 min</movie>
<movie>New Nightmare	1994	USA	112 min</movie>
<movie>Daredevil vs. Spider-Man	1994	USA	80 min</movie>
