<xml><header>title	year	country	runtime</header>
<movie>Chandu the Magician	1932	USA	71 min</movie>
<movie>"Hey, Pop!"	1932	USA	18 min</movie>
<movie>Faithless	1932	USA	77 min</movie>
<movie>Thirteen Women	1932	USA	73 min</movie>
<movie>Broken Lullaby	1932	USA	76 min</movie>
<movie>Is My Face Red?	1932	USA	66 min</movie>
<movie>It's Tough to Be Famous	1932	USA	79 min</movie>
<movie>The Midnight Lady	1932	USA	65 min</movie>
<movie>The Man Who Played God	1932	USA	80 min</movie>
<movie>One Way Passage	1932	USA	67 min</movie>
<movie>This Is the Night	1932	USA	80 min</movie>
<movie>Scarface	1932	USA	93 min</movie>
<movie>Destry Rides Again	1932	USA	61 min</movie>
<movie>The Last Mile	1932	USA	75 min</movie>
<movie>The Private Life of Henry VIII.	1933	UK	97 min</movie>
<movie>The Ghoul	1933	UK	77 min</movie>
<movie>I Lived with You	1933	UK	100 min</movie>
<movie>The Ghost Camera	1933	UK	66 min</movie>
<movie>Perfect Understanding	1933	UK	80 min</movie>
<movie>Adventures of Don Quixote	1933	"UK, France"	73 min</movie>
<movie>Duck Soup	1933	USA	68 min</movie>
<movie>The Invisible Man	1933	USA	71 min</movie>
<movie>Ladies They Talk About	1933	USA	69 min</movie>
<movie>Picture Snatcher	1933	USA	77 min</movie>
<movie>The Story of Temple Drake	1933	USA	70 min</movie>
<movie>The Sphinx	1933	USA	64 min</movie>
<movie>Lady for a Day	1933	USA	96 min</movie>
<movie>Sons of the Desert	1933	USA	68 min</movie>
<movie>Blood Money	1933	USA	65 min</movie>
<movie>A Shriek in the Night	1933	USA	66 min</movie>
<movie>King Kong	1933	USA	100 min</movie>
<movie>In the Dough	1933	USA	22 min</movie>
<movie>No Other Woman	1933	USA	58 min</movie>
<movie>Midnight Mary	1933	USA	74 min</movie>
<movie>Father Noah's Ark	1933	USA	8 min</movie>
<movie>Three Little Pigs	1933	USA	9 min</movie>
<movie>Ye Olden Days	1933	USA	8 min</movie>
<movie>The Pied Piper	1933	USA	8 min</movie>
<movie>Old King Cole	1933	USA	7 min</movie>
<movie>Design for Living	1933	USA	91 min</movie>
<movie>Night Flight	1933	USA	84 min</movie>
<movie>The Son of Kong	1933	USA	70 min</movie>
<movie>The Warrior's Husband	1933	USA	75 min</movie>
<movie>Gallant Lady	1933	USA	84 min</movie>
<movie>Rafter Romance	1933	USA	73 min</movie>
<movie>Topaze	1933	USA	78 min</movie>
<movie>Mystery of the Wax Museum	1933	USA	77 min</movie>
<movie>The Working Man	1933	USA	78 min</movie>
<movie>Deluge	1933	USA	70 min</movie>
<movie>Sweepings	1933	USA	80 min</movie>
<movie>Fast Workers	1933	USA	66 min</movie>
<movie>The Mind Reader	1933	USA	70 min</movie>
<movie>Cavalcade	1933	USA	112 min</movie>
<movie>Ex-Lady	1933	USA	67 min</movie>
<movie>The Kiss Before the Mirror	1933	USA	69 min</movie>
<movie>Morning Glory	1933	USA	74 min</movie>
<movie>Footlight Parade	1933	USA	104 min</movie>
<movie>Betty Boop's Big Boss	1933	USA	7 min</movie>
<movie>The Secret of Madame Blanche	1933	USA	84 min</movie>
<movie>Pilgrimage	1933	USA	96 min</movie>
<movie>Dancing Lady	1933	USA	92 min</movie>
<movie>Baby Face	1933	USA	71 min</movie>
<movie>The Song of Songs	1933	USA	90 min</movie>
<movie>Dinner at Eight	1933	USA	111 min</movie>
<movie>Queen Christina	1933	USA	99 min</movie>
<movie>I'm No Angel	1933	USA	87 min</movie>
<movie>Gold Diggers of 1933	1933	USA	97 min</movie>
<movie>Flying Down to Rio	1933	USA	89 min</movie>
<movie>Employees' Entrance	1933	USA	75 min</movie>
<movie>I Cover the Waterfront	1933	USA	75 min</movie>
<movie>College Humor	1933	USA	80 min</movie>
<movie>One Sunday Afternoon	1933	USA	85 min</movie>
<movie>Zoo in Budapest	1933	USA	94 min</movie>
<movie>Christopher Strong	1933	USA	78 min</movie>
<movie>I Loved a Woman	1933	USA	90 min</movie>
<movie>Heroes for Sale	1933	USA	76 min</movie>
<movie>Tugboat Annie	1933	USA	86 min</movie>
<movie>Wild Boys of the Road	1933	USA	68 min</movie>
<movie>Meet the Baron	1933	USA	68 min</movie>
<movie>The Organ Grinder	1933	USA	7 min</movie>
<movie>She Done Him Wrong	1933	USA	66 min</movie>
<movie>The Mayor of Hell	1933	USA	90 min</movie>
<movie>Female	1933	USA	60 min</movie>
<movie>Doctor Bull	1933	USA	77 min</movie>
<movie>Chance at Heaven	1933	USA	71 min</movie>
<movie>Lady Killer	1933	USA	76 min</movie>
<movie>The Fatal Glass of Beer	1933	USA	18 min</movie>
<movie>The Little Giant	1933	USA	76 min</movie>
<movie>The Emperor Jones	1933	USA	72 min</movie>
<movie>Hold Your Man	1933	USA	87 min</movie>
<movie>Jennie Gerhardt	1933	USA	85 min</movie>
<movie>The Eagle and the Hawk	1933	USA	73 min</movie>
<movie>The Devil's Brother	1933	USA	90 min</movie>
<movie>Busy Bodies	1933	USA	19 min</movie>
<movie>The Vampire Bat	1933	USA	65 min</movie>
<movie>Berkeley Square	1933	USA	84 min</movie>
<movie>Gambling Ship	1933	USA	72 min</movie>
<movie>Bombshell	1933	USA	96 min</movie>
<movie>Alice in Wonderland	1933	USA	76 min</movie>
<movie>Mr. Skitch	1933	USA	70 min</movie>
<movie>Tillie and Gus	1933	USA	58 min</movie>
<movie>Forgotten Men	1933	USA	60 min</movie>
<movie>42nd Street	1933	USA	89 min</movie>
<movie>The Woman Accused	1933	USA	73 min</movie>
<movie>Man's Castle	1933	USA	75 min</movie>
<movie>Hard to Handle	1933	USA	78 min</movie>
<movie>Torch Singer	1933	USA	71 min</movie>
<movie>Little Women	1933	USA	115 min</movie>
<movie>Don't Make Grandpa Angry	1934	Czechoslovakia	74 min</movie>
<movie>Zouzou	1934	France	92 min</movie>
<movie>Man of Aran	1934	UK	76 min</movie>
<movie>Strike!	1934	UK	69 min</movie>
<movie>The Scarlet Pimpernel	1934	UK	97 min</movie>
<movie>The Rise of Catherine the Great	1934	UK	95 min</movie>
<movie>Tiger Bay	1934	UK	70 min</movie>
<movie>Java Head	1934	UK	68 min</movie>
<movie>The Man Who Knew Too Much	1934	UK	75 min</movie>
<movie>The Thin Man	1934	USA	91 min</movie>
<movie>Looking for Trouble	1934	USA	80 min</movie>
<movie>Little Miss Marker	1934	USA	80 min</movie>
<movie>Cleopatra	1934	USA	100 min</movie>
<movie>A Modern Hero	1934	USA	71 min</movie>
<movie>The Goddess of Spring	1934	USA	10 min</movie>
<movie>The Merry Widow	1934	USA	99 min</movie>
<movie>The Grasshopper and the Ants	1934	USA	8 min</movie>
<movie>The Big Bad Wolf	1934	USA	9 min</movie>
<movie>Peculiar Penguins	1934	USA	6 min</movie>
<movie>The Flying Mouse	1934	USA	9 min</movie>
<movie>Funny Little Bunnies	1934	USA	7 min</movie>
<movie>The Man from Utah	1934	USA	55 min</movie>
<movie>The Trail Beyond	1934	USA	55 min</movie>
<movie>Jimmy the Gent	1934	USA	67 min</movie>
<movie>The World Moves On	1934	USA	104 min</movie>
<movie>Chained	1934	USA	76 min</movie>
<movie>Limehouse Blues	1934	USA	63 min</movie>
<movie>Massacre	1934	USA	70 min</movie>
<movie>One More River	1934	USA	88 min</movie>
