word	nodeType	synsetCount	unit	count
funny	ADJ	5	vol-10	1
gigantic	ADJ	1	vol-10	1
glad	ADJ	5	vol-10	1
good	ADJ	27	vol-10	2
great	ADJ	7	vol-10	1
little	ADJ	10	vol-10	2
main	ADJ	5	vol-10	1
many	ADJ	1	vol-10	2
more	ADJ	5	vol-10	1
new	ADJ	12	vol-10	1
nice	ADJ	6	vol-10	1
old	ADJ	9	vol-10	1
other	ADJ	4	vol-10	1
pointless	ADJ	2	vol-10	1
real	ADJ	13	vol-10	1
ridiculous	ADJ	3	vol-10	1
right	ADJ	36	vol-10	3
short	ADJ	23	vol-10	1
sixth	ADJ	4	vol-10	1
small	ADJ	13	vol-10	1
straight	ADJ	21	vol-10	1
strong	ADJ	10	vol-10	1
sudden	ADJ	1	vol-10	1
tall	ADJ	5	vol-10	1
terrible	ADJ	4	vol-10	1
unyielding	ADJ	2	vol-10	1
upper	ADJ	6	vol-10	1
whole	ADJ	8	vol-10	1
wonderful	ADJ	1	vol-10	1
entire	ADJ	5	vol-11	1
frequent	ADJ	4	vol-11	1
blurry	ADJ	1	vol-13	1
bottom	ADJ	12	vol-13	1
certain	ADJ	7	vol-13	1
close	ADJ	37	vol-13	1
confusing	ADJ	7	vol-13	1
cool	ADJ	11	vol-13	1
curious	ADJ	3	vol-13	1
excellent	ADJ	1	vol-13	1
first	ADJ	16	vol-13	2
good	ADJ	27	vol-13	2
graphic	ADJ	6	vol-13	1
great	ADJ	7	vol-13	1
happy	ADJ	4	vol-13	1
impressive	ADJ	2	vol-13	1
likely	ADJ	5	vol-13	1
little	ADJ	10	vol-13	1
naked	ADJ	5	vol-13	1
new	ADJ	12	vol-13	1
nice	ADJ	6	vol-13	1
normal	ADJ	5	vol-13	1
outward	ADJ	3	vol-13	1
ready	ADJ	8	vol-13	1
short	ADJ	23	vol-13	1
sighted	ADJ	3	vol-13	2
small	ADJ	13	vol-13	1
straight	ADJ	21	vol-13	1
white	ADJ	25	vol-13	1
worthy	ADJ	4	vol-13	1
41st	ADJ	1	vol-12	1
cold	ADJ	16	vol-12	1
complicated	ADJ	3	vol-12	1
cool	ADJ	11	vol-12	2
curious	ADJ	3	vol-12	1
easy	ADJ	15	vol-12	1
embarrassed	ADJ	4	vol-12	1
facial	ADJ	4	vol-12	1
famous	ADJ	1	vol-12	1
first	ADJ	16	vol-12	1
happy	ADJ	4	vol-12	1
hard	ADJ	22	vol-12	1
high	ADJ	18	vol-12	1
hot	ADJ	21	vol-12	1
interested	ADJ	5	vol-12	1
la	ADJ	3	vol-12	2
little	ADJ	10	vol-12	2
local	ADJ	5	vol-12	1
lucky	ADJ	3	vol-12	1
next	ADJ	4	vol-12	2
okay	ADJ	4	vol-12	4
old	ADJ	9	vol-12	1
ooh	ADJ	1	vol-12	1
part	ADJ	18	vol-12	1
previous	ADJ	3	vol-12	1
ready	ADJ	8	vol-12	1
right	ADJ	36	vol-12	3
same	ADJ	6	vol-12	2
several	ADJ	3	vol-12	1
sexy	ADJ	2	vol-12	2
sorry	ADJ	4	vol-12	1
specific	ADJ	6	vol-12	1
splendid	ADJ	3	vol-12	1
straight	ADJ	21	vol-12	1
strong	ADJ	10	vol-12	1
sudden	ADJ	1	vol-12	1
sure	ADJ	10	vol-12	1
uhhh	ADJ	0	vol-12	2
unauthorized	ADJ	2	vol-12	1
webbed	ADJ	3	vol-12	1
whole	ADJ	8	vol-12	2
wrong	ADJ	13	vol-12	1
2nd	ADJ	1	vol-23	1
3rd	ADJ	1	vol-23	1
4th	ADJ	1	vol-23	1
5th	ADJ	1	vol-23	1
6th	ADJ	1	vol-23	2
7th	ADJ	1	vol-23	1
afraid	ADJ	4	vol-23	1
ahem	ADJ	1	vol-23	1
bad	ADJ	17	vol-23	1
best	ADJ	43	vol-23	1
bottom	ADJ	12	vol-23	1
changed	ADJ	13	vol-23	1
cool	ADJ	11	vol-23	1
dedicated	ADJ	6	vol-23	1
deep	ADJ	21	vol-23	1
different	ADJ	5	vol-23	2
duper	ADJ	0	vol-23	1
esoteric	ADJ	1	vol-23	1
exciting	ADJ	10	vol-23	1
fair	ADJ	17	vol-23	1
first	ADJ	16	vol-23	3
foreign	ADJ	4	vol-23	1
free	ADJ	22	vol-23	1
funny	ADJ	5	vol-23	1
great	ADJ	7	vol-23	1
happy	ADJ	4	vol-23	1
humorous	ADJ	1	vol-23	1
interested	ADJ	5	vol-23	1
ish	ADJ	0	vol-23	1
least	ADJ	3	vol-23	1
left	ADJ	24	vol-23	1
like	ADJ	11	vol-23	1
little	ADJ	10	vol-23	3
main	ADJ	5	vol-23	1
middle	ADJ	9	vol-23	1
next	ADJ	4	vol-23	2
other	ADJ	4	vol-23	4
professional	ADJ	8	vol-23	1
proper	ADJ	4	vol-23	1
quick	ADJ	8	vol-23	1
same	ADJ	6	vol-23	1
sexy	ADJ	2	vol-23	3
sorry	ADJ	4	vol-23	1
strange	ADJ	3	vol-23	1
such	ADJ	2	vol-23	2
sure	ADJ	10	vol-23	1
surprised	ADJ	4	vol-23	2
upper	ADJ	6	vol-23	1
western	ADJ	6	vol-23	1
worldly	ADJ	2	vol-23	1
wrong	ADJ	13	vol-23	1
bad	ADJ	17	vol-22	1
basic	ADJ	6	vol-22	1
big	ADJ	17	vol-22	1
chinese	ADJ	4	vol-22	1
direct	ADJ	24	vol-22	1
expeditionary	ADJ	1	vol-22	1
famous	ADJ	1	vol-22	1
fine	ADJ	10	vol-22	1
good	ADJ	27	vol-22	2
green	ADJ	14	vol-22	1
high	ADJ	18	vol-22	1
japanese	ADJ	3	vol-22	2
korean	ADJ	3	vol-22	1
long	ADJ	12	vol-22	2
more	ADJ	5	vol-22	1
mysterious	ADJ	2	vol-22	1
next	ADJ	4	vol-22	3
other	ADJ	4	vol-22	1
short	ADJ	23	vol-22	1
suigun	ADJ	0	vol-22	1
unique	ADJ	4	vol-22	1
weird	ADJ	3	vol-22	2
widespread	ADJ	2	vol-22	1
17th	ADJ	1	vol-20	1
awful	ADJ	7	vol-20	1
baroque	ADJ	4	vol-20	2
certain	ADJ	7	vol-20	1
chinese	ADJ	4	vol-20	2
cute	ADJ	2	vol-20	2
dang	ADJ	0	vol-20	1
dear	ADJ	8	vol-20	1
difficult	ADJ	2	vol-20	2
dirty	ADJ	13	vol-20	1
editorial	ADJ	3	vol-20	1
enthusiastic	ADJ	1	vol-20	1
extravagant	ADJ	2	vol-20	1
female	ADJ	5	vol-20	2
former	ADJ	5	vol-20	2
good	ADJ	27	vol-20	3
great	ADJ	7	vol-20	1
hard	ADJ	22	vol-20	2
huge	ADJ	1	vol-20	1
human	ADJ	4	vol-20	2
impressed	ADJ	8	vol-20	1
like	ADJ	11	vol-20	1
little	ADJ	10	vol-20	2
many	ADJ	1	vol-20	1
middle	ADJ	9	vol-20	2
more	ADJ	5	vol-20	1
next	ADJ	4	vol-20	1
nice	ADJ	6	vol-20	1
normal	ADJ	5	vol-20	1
okay	ADJ	4	vol-20	1
old	ADJ	9	vol-20	3
only	ADJ	9	vol-20	1
ostentatious	ADJ	2	vol-20	1
other	ADJ	4	vol-20	3
own	ADJ	2	vol-20	2
picky	ADJ	1	vol-20	1
prevalent	ADJ	1	vol-20	1
real	ADJ	13	vol-20	1
refined	ADJ	11	vol-20	1
relentless	ADJ	2	vol-20	1
right	ADJ	36	vol-20	4
sacred	ADJ	5	vol-20	1
scary	ADJ	1	vol-20	1
secret	ADJ	14	vol-20	2
serious	ADJ	6	vol-20	1
simple	ADJ	9	vol-20	2
tall	ADJ	5	vol-20	1
tense	ADJ	8	vol-20	1
tootin	ADJ	0	vol-20	1
top	ADJ	22	vol-20	1
true	ADJ	15	vol-20	2
witted	ADJ	0	vol-20	1
wrong	ADJ	13	vol-20	1
young	ADJ	14	vol-20	1
2nd	ADJ	1	vol-21	1
5th	ADJ	1	vol-21	1
big	ADJ	17	vol-21	1
boring	ADJ	5	vol-21	1
close	ADJ	37	vol-21	1
correct	ADJ	12	vol-21	1
current	ADJ	4	vol-21	1
different	ADJ	5	vol-21	3
drunk	ADJ	9	vol-21	1
easy	ADJ	15	vol-21	1
first	ADJ	16	vol-21	1
former	ADJ	5	vol-21	1
full	ADJ	13	vol-21	1
good	ADJ	27	vol-21	1
green	ADJ	14	vol-21	1
happy	ADJ	4	vol-21	1
impossible	ADJ	4	vol-21	2
large	ADJ	11	vol-21	1
left	ADJ	24	vol-21	1
little	ADJ	10	vol-21	2
lonely	ADJ	4	vol-21	1
mean	ADJ	16	vol-21	1
more	ADJ	5	vol-21	1
most	ADJ	5	vol-21	1
much	ADJ	7	vol-21	1
next	ADJ	4	vol-21	1
orange	ADJ	6	vol-21	1
other	ADJ	4	vol-21	4
right	ADJ	36	vol-21	4
same	ADJ	6	vol-21	1
second	ADJ	15	vol-21	2
sober	ADJ	7	vol-21	1
strong	ADJ	10	vol-21	1
such	ADJ	2	vol-21	1
sure	ADJ	10	vol-21	1
surprised	ADJ	4	vol-21	1
true	ADJ	15	vol-21	1
uhhh	ADJ	0	vol-21	1
uhhhhhh	ADJ	0	vol-21	1
american	ADJ	5	vol-25	1
big	ADJ	17	vol-25	1
correct	ADJ	12	vol-25	1
dangerous	ADJ	2	vol-25	1
english	ADJ	6	vol-25	1
fast	ADJ	15	vol-25	1
favourite	ADJ	5	vol-25	1
floaty	ADJ	1	vol-25	1
fun	ADJ	4	vol-25	1
fuzzy	ADJ	3	vol-25	2
good	ADJ	27	vol-25	4
heavy	ADJ	30	vol-25	1
high	ADJ	18	vol-25	1
honorific	ADJ	2	vol-25	1
huge	ADJ	1	vol-25	1
large	ADJ	11	vol-25	1
late	ADJ	11	vol-25	1
left	ADJ	24	vol-25	4
long	ADJ	12	vol-25	1
many	ADJ	1	vol-25	1
massive	ADJ	4	vol-25	1
merry	ADJ	3	vol-25	2
middle	ADJ	9	vol-25	2
more	ADJ	5	vol-25	1
naked	ADJ	5	vol-25	2
near	ADJ	9	vol-25	1
next	ADJ	4	vol-25	2
north	ADJ	9	vol-25	1
other	ADJ	4	vol-25	1
proper	ADJ	4	vol-25	1
related	ADJ	7	vol-25	1
right	ADJ	36	vol-25	4
ro	ADJ	1	vol-25	1
same	ADJ	6	vol-25	1
serious	ADJ	6	vol-25	1
single	ADJ	10	vol-25	1
small	ADJ	13	vol-25	1
sudden	ADJ	1	vol-25	1
sumo	ADJ	1	vol-25	1
surprised	ADJ	4	vol-25	1
true	ADJ	15	vol-25	1
violent	ADJ	5	vol-25	1
8th	ADJ	1	vol-19	1
bad	ADJ	17	vol-19	1
big	ADJ	17	vol-19	1
bloody	ADJ	4	vol-19	1
chinese	ADJ	4	vol-19	1
dangerous	ADJ	2	vol-19	1
enough	ADJ	3	vol-19	1
fried	ADJ	4	vol-19	1
full	ADJ	13	vol-19	1
good	ADJ	27	vol-19	1
high	ADJ	18	vol-19	1
human	ADJ	4	vol-19	2
left	ADJ	24	vol-19	1
main	ADJ	5	vol-19	1
many	ADJ	1	vol-19	1
middle	ADJ	9	vol-19	1
next	ADJ	4	vol-19	3
nice	ADJ	6	vol-19	1
old	ADJ	9	vol-19	5
only	ADJ	9	vol-19	1
other	ADJ	4	vol-19	1
possible	ADJ	4	vol-19	1
right	ADJ	36	vol-19	4
same	ADJ	6	vol-19	4
sayeen	ADJ	0	vol-19	1
serious	ADJ	6	vol-19	2
slow	ADJ	11	vol-19	1
special	ADJ	10	vol-19	1
surprising	ADJ	4	vol-19	1
well	ADJ	22	vol-19	1
worried	ADJ	8	vol-19	1
MOST	ADJ	5	vol-18	1
actual	ADJ	5	vol-18	1
bad	ADJ	17	vol-18	2
beloved	ADJ	2	vol-18	1
certain	ADJ	7	vol-18	1
cold	ADJ	16	vol-18	3
cool	ADJ	11	vol-18	1
correct	ADJ	12	vol-18	2
curious	ADJ	3	vol-18	2
different	ADJ	5	vol-18	1
difficult	ADJ	2	vol-18	2
easy	ADJ	15	vol-18	1
embarrassed	ADJ	4	vol-18	1
embarrassing	ADJ	4	vol-18	1
enough	ADJ	3	vol-18	1
entire	ADJ	5	vol-18	1
female	ADJ	5	vol-18	2
good	ADJ	27	vol-18	1
happy	ADJ	4	vol-18	3
hilarious	ADJ	1	vol-18	1
huge	ADJ	1	vol-18	1
important	ADJ	5	vol-18	1
incredible	ADJ	1	vol-18	1
japanese	ADJ	3	vol-18	1
little	ADJ	10	vol-18	2
main	ADJ	5	vol-18	1
male	ADJ	6	vol-18	1
mighty	ADJ	2	vol-18	1
much	ADJ	7	vol-18	1
naked	ADJ	5	vol-18	1
new	ADJ	12	vol-18	1
next	ADJ	4	vol-18	3
open	ADJ	36	vol-18	1
other	ADJ	4	vol-18	1
right	ADJ	36	vol-18	6
same	ADJ	6	vol-18	2
secret	ADJ	14	vol-18	1
serious	ADJ	6	vol-18	1
small	ADJ	13	vol-18	1
sorry	ADJ	4	vol-18	3
special	ADJ	10	vol-18	1
sure	ADJ	10	vol-18	2
unapologetic	ADJ	1	vol-18	1
wrong	ADJ	13	vol-18	1
young	ADJ	14	vol-18	1
17th	ADJ	1	vol-24	1
2nd	ADJ	1	vol-24	1
4th	ADJ	1	vol-24	1
angry	ADJ	3	vol-24	1
armed	ADJ	5	vol-24	1
basic	ADJ	6	vol-24	1
big	ADJ	17	vol-24	2
calm	ADJ	8	vol-24	1
clever	ADJ	3	vol-24	1
cold	ADJ	16	vol-24	1
common	ADJ	10	vol-24	1
cool	ADJ	11	vol-24	1
correct	ADJ	12	vol-24	1
drawn	ADJ	38	vol-24	1
embarrassed	ADJ	4	vol-24	1
enough	ADJ	3	vol-24	1
erotic	ADJ	2	vol-24	1
extra	ADJ	7	vol-24	1
great	ADJ	7	vol-24	1
instant	ADJ	5	vol-24	2
ish	ADJ	0	vol-24	1
jealous	ADJ	2	vol-24	1
little	ADJ	10	vol-24	2
major	ADJ	13	vol-24	1
many	ADJ	1	vol-24	1
marine	ADJ	7	vol-24	1
more	ADJ	5	vol-24	2
next	ADJ	4	vol-24	1
normal	ADJ	5	vol-24	1
orange	ADJ	6	vol-24	3
other	ADJ	4	vol-24	2
own	ADJ	2	vol-24	1
personal	ADJ	6	vol-24	2
presumptuous	ADJ	1	vol-24	1
private	ADJ	5	vol-24	1
proud	ADJ	2	vol-24	1
red	ADJ	7	vol-24	1
regular	ADJ	17	vol-24	1
right	ADJ	36	vol-24	1
royalist	ADJ	2	vol-24	1
serious	ADJ	6	vol-24	1
similar	ADJ	5	vol-24	1
simple	ADJ	9	vol-24	1
small	ADJ	13	vol-24	1
weekly	ADJ	3	vol-24	1
whole	ADJ	8	vol-24	1
able	ADJ	4	vol-26	1
american	ADJ	5	vol-26	2
careful	ADJ	5	vol-26	1
different	ADJ	5	vol-26	2
few	ADJ	2	vol-26	1
fine	ADJ	10	vol-26	1
foreign	ADJ	4	vol-26	4
french	ADJ	5	vol-26	2
happy	ADJ	4	vol-26	1
interesting	ADJ	4	vol-26	1
international	ADJ	3	vol-26	1
japanese	ADJ	3	vol-26	2
little	ADJ	10	vol-26	1
main	ADJ	5	vol-26	1
next	ADJ	4	vol-26	2
other	ADJ	4	vol-26	1
same	ADJ	6	vol-26	3
silly	ADJ	5	vol-26	1
strange	ADJ	3	vol-26	1
stupid	ADJ	4	vol-26	1
such	ADJ	2	vol-26	1
surprised	ADJ	4	vol-26	1
unique	ADJ	4	vol-26	1
amazing	ADJ	4	vol-27	1
ashamed	ADJ	1	vol-27	1
bad	ADJ	17	vol-27	1
big	ADJ	17	vol-27	3
black	ADJ	22	vol-27	1
careful	ADJ	5	vol-27	1
careless	ADJ	3	vol-27	1
chinese	ADJ	4	vol-27	1
convinced	ADJ	3	vol-27	1
cool	ADJ	11	vol-27	2
expensive	ADJ	1	vol-27	1
fake	ADJ	8	vol-27	1
free	ADJ	22	vol-27	1
french	ADJ	5	vol-27	1
full	ADJ	13	vol-27	1
funny	ADJ	5	vol-27	1
good	ADJ	27	vol-27	2
horrible	ADJ	1	vol-27	2
important	ADJ	5	vol-27	2
japanese	ADJ	3	vol-27	1
large	ADJ	11	vol-27	1
left	ADJ	24	vol-27	1
little	ADJ	10	vol-27	2
main	ADJ	5	vol-27	1
many	ADJ	1	vol-27	1
maximum	ADJ	4	vol-27	1
more	ADJ	5	vol-27	1
natural	ADJ	13	vol-27	1
next	ADJ	4	vol-27	1
old	ADJ	9	vol-27	2
opposite	ADJ	11	vol-27	1
other	ADJ	4	vol-27	2
popular	ADJ	4	vol-27	1
queenly	ADJ	1	vol-27	1
random	ADJ	1	vol-27	2
real	ADJ	13	vol-27	3
right	ADJ	36	vol-27	1
rude	ADJ	5	vol-27	1
same	ADJ	6	vol-27	4
secret	ADJ	14	vol-27	1
simple	ADJ	9	vol-27	1
sisterly	ADJ	1	vol-27	1
stuck	ADJ	18	vol-27	1
such	ADJ	2	vol-27	1
sudden	ADJ	1	vol-27	1
sure	ADJ	10	vol-27	1
traditional	ADJ	2	vol-27	1
true	ADJ	15	vol-27	1
well	ADJ	22	vol-27	1
wide	ADJ	11	vol-27	1
wrong	ADJ	13	vol-27	2
young	ADJ	14	vol-27	2
able	ADJ	4	vol-6	1
accurate	ADJ	2	vol-6	1
armed	ADJ	5	vol-6	1
bad	ADJ	17	vol-6	1
brown	ADJ	8	vol-6	1
careful	ADJ	5	vol-6	1
current	ADJ	4	vol-6	1
cute	ADJ	2	vol-6	1
dangerous	ADJ	2	vol-6	1
disgusting	ADJ	3	vol-6	1
exact	ADJ	4	vol-6	1
fake	ADJ	8	vol-6	1
female	ADJ	5	vol-6	1
first	ADJ	16	vol-6	2
good	ADJ	27	vol-6	2
handy	ADJ	4	vol-6	1
hard	ADJ	22	vol-6	1
hungry	ADJ	2	vol-6	1
interested	ADJ	5	vol-6	1
japanese	ADJ	3	vol-6	1
key	ADJ	21	vol-6	1
kindred	ADJ	3	vol-6	1
little	ADJ	10	vol-6	1
many	ADJ	1	vol-6	2
more	ADJ	5	vol-6	1
mysterious	ADJ	2	vol-6	1
new	ADJ	12	vol-6	1
occasional	ADJ	4	vol-6	1
odd	ADJ	6	vol-6	1
old	ADJ	9	vol-6	1
other	ADJ	4	vol-6	1
own	ADJ	2	vol-6	1
personal	ADJ	6	vol-6	1
relaxing	ADJ	9	vol-6	1
right	ADJ	36	vol-6	1
same	ADJ	6	vol-6	2
scary	ADJ	1	vol-6	1
second	ADJ	15	vol-6	1
special	ADJ	10	vol-6	2
striped	ADJ	15	vol-6	3
third	ADJ	8	vol-6	1
useful	ADJ	2	vol-6	1
various	ADJ	4	vol-6	1
weekly	ADJ	3	vol-6	1
weird	ADJ	3	vol-6	4
weirdo	ADJ	2	vol-6	1
wonderful	ADJ	1	vol-6	1
worth	ADJ	5	vol-6	1
wrong	ADJ	13	vol-6	1
able	ADJ	4	vol-7	2
amazing	ADJ	4	vol-7	1
artistic	ADJ	3	vol-7	1
bad	ADJ	17	vol-7	2
braided	ADJ	4	vol-7	1
broken	ADJ	72	vol-7	1
certain	ADJ	7	vol-7	1
