c-3po:	SPEAKERrots	movie
padme:	SPEAKERrots	movie
super battle droid g21:	SPEAKERrots	movie
darth sldious:	SPEAKERrots	movie
yoda:	SPEAKERrots	movie
fang zar:	SPEAKERrots	movie
mon mothma:	SPEAKERrots	movie
giddean danu:	SPEAKERrots	movie
terr taneel:	SPEAKERrots	movie
glddean danu:	SPEAKERrots	movie
mace:	SPEAKERrots	movie
kl-adi-mundi:	SPEAKERrots	movie
obi-wan :	SPEAKERrots	movie
captain typho:	SPEAKERrots	movie
motee:	SPEAKERrots	movie
clone commander gree:	SPEAKERrots	movie
bana breemu:	SPEAKERrots	movie
chi eekway:	SPEAKERrots	movie
clone commander cody:	SPEAKERrots	movie
jar jar:	SPEAKERrots	movie
tlon medon:	SPEAKERrots	movie
obi-wan starts back toward his starfighter as tion medon leaves the landing platform. grievous's bodyguards retreat from the overhead platform. obi-wan climbs back into his blue jedi fighter. his astro unit (r4-g9) turns to him:	SPEAKERrots	movie
wrangler:	SPEAKERrots	movie
nute gunray:	SPEAKERrots	movie
palpatine listens to a delegation from the senate, which includes padme and five other senators:	SPEAKERrots	movie
fangzar:	SPEAKERrots	movie
mace windu:	SPEAKERrots	movie
palpatine is putting on his dark cloak:	SPEAKERrots	movie
clone commander bacara:	SPEAKERrots	movie
aayla:	SPEAKERrots	movie
bly:	SPEAKERrots	movie
darth sidious:	SPEAKERrots	movie
clone pilot:	SPEAKERrots	movie
plo koon:	SPEAKERrots	movie
dabth sidious:	SPEAKERrots	movie
younglings:	SPEAKERrots	movie
clone sergeant:	SPEAKERrots	movie
clone commander appo:	SPEAKERrots	movie
at-st clone sergeant:	SPEAKERrots	movie
creature:	SPEAKERrots	movie
clone trooper:	SPEAKERrots	movie
royal guard:	SPEAKERrots	movie
captain antilles:	SPEAKERrots	movie
clone captain:	SPEAKERrots	movie
bail:	SPEAKERrots	movie
threepio:	SPEAKERrots	movie
g-3po:	SPEAKERrots	movie
mas amedda:	SPEAKERrots	movie
guard:	SPEAKERrots	movie
rune haako:	SPEAKERrots	movie
darth vader:	SPEAKERrots	movie
clone commander thire:	SPEAKERrots	movie
qui -gon:	SPEAKERrots	movie
qui-gon:	SPEAKERrots	movie
medical droid:	SPEAKERrots	movie
shuttle captain	SPEAKERROTJ	movie
death star controller (filtered vo)	SPEAKERROTJ	movie
officer	SPEAKERROTJ	movie
officer	SPEAKERanh	movie
officer	SPEAKEResb	movie
operator	SPEAKERROTJ	movie
jerjerrod	SPEAKERROTJ	movie
vader	SPEAKERROTJ	movie
vader	SPEAKERanh	movie
vader	SPEAKEResb	movie
jerjerrod (aghast)	SPEAKERROTJ	movie
threepio (instantly)	SPEAKERROTJ	movie
strange voice	SPEAKERROTJ	movie
strange voice	SPEAKEResb	movie
bib	SPEAKERROTJ	movie
threepio (cont)	SPEAKERROTJ	movie
luke	SPEAKERROTJ	movie
luke	SPEAKERanh	movie
